pokemonId,latitude,longitude,appearedLocalTime,cluster
16,20.525745,-97.460829,2016-09-08T03:57:45,2
133,20.523695,-97.461167,2016-09-08T03:57:37,2
16,38.903590,-77.199780,2016-09-08T03:57:25,4
13,47.665903,-122.312561,2016-09-08T03:56:22,2
133,47.666454,-122.311628,2016-09-08T03:56:08,2
21,-31.954980,115.853609,2016-09-08T03:55:58,0
66,-31.954245,115.852038,2016-09-08T03:55:25,0
27,26.235257,-98.197591,2016-09-08T03:55:18,2
35,20.525554,-97.458800,2016-09-08T03:55:01,2
19,32.928558,-84.340278,2016-09-08T03:54:50,4
116,32.930646,-84.339867,2016-09-08T03:53:51,4
74,32.943651,-84.334443,2016-09-08T03:53:42,4
16,26.235552,-98.197249,2016-09-08T03:53:40,2
19,20.525770,-97.460237,2016-09-08T03:53:25,2
19,26.236029,-98.196908,2016-09-08T03:53:24,2
19,47.664333,-122.312645,2016-09-08T03:52:52,2
16,20.526489,-97.460745,2016-09-08T03:51:50,2
13,53.611417,-113.369528,2016-09-08T03:51:27,2
32,20.525710,-97.459477,2016-09-08T03:51:14,2
129,-31.954346,115.851576,2016-09-08T03:51:11,0
23,26.331856,-81.814452,2016-09-08T03:50:41,4
75,26.235527,-98.197677,2016-09-08T03:50:40,2
35,20.524085,-97.458547,2016-09-08T03:50:29,2
29,32.823098,-116.901110,2016-09-08T03:50:15,2
16,20.524930,-97.460406,2016-09-08T03:49:53,2
58,26.235537,-98.197506,2016-09-08T03:49:49,2
48,47.666999,-122.312617,2016-09-08T03:49:48,2
46,32.824114,-116.901662,2016-09-08T03:49:39,2
41,49.335511,17.996289,2016-09-08T03:49:28,3
19,20.525767,-97.460322,2016-09-08T03:49:02,2
21,42.396695,-71.071458,2016-09-08T03:48:39,4
60,-31.954024,115.853054,2016-09-08T03:48:15,0
120,49.757224,14.181130,2016-09-08T03:48:02,3
120,49.757354,14.180744,2016-09-08T03:48:02,3
147,49.756788,14.181359,2016-09-08T03:48:02,3
41,34.050430,-118.245399,2016-09-08T03:47:45,2
13,47.664384,-122.313302,2016-09-08T03:47:35,2
16,26.332885,-81.811633,2016-09-08T03:47:24,4
98,38.228901,-122.587070,2016-09-08T03:47:13,2
41,38.228376,-122.587335,2016-09-08T03:47:04,2
16,-31.954323,115.851298,2016-09-08T03:47:00,0
19,32.823563,-116.901570,2016-09-08T03:46:38,2
17,-31.953959,115.852592,2016-09-08T03:46:10,0
46,32.823037,-116.901018,2016-09-08T03:45:54,2
114,20.525678,-97.460237,2016-09-08T03:45:45,2
116,26.334004,-81.811975,2016-09-08T03:45:26,4
13,49.337329,17.999755,2016-09-08T03:45:06,3
21,49.335665,17.998900,2016-09-08T03:45:01,3
19,47.665853,-122.313536,2016-09-08T03:44:46,2
16,38.228819,-122.587335,2016-09-08T03:44:34,2
32,34.101633,-117.943984,2016-09-08T03:43:55,2
15,20.525659,-97.460660,2016-09-08T03:43:30,2
16,33.907069,-118.163512,2016-09-08T03:43:28,2
41,20.525571,-97.460576,2016-09-08T03:43:12,2
21,49.337478,17.994235,2016-09-08T03:43:11,3
74,33.433687,-112.040045,2016-09-08T03:42:58,2
13,49.337238,17.999814,2016-09-08T03:42:50,3
63,26.233883,-98.197591,2016-09-08T03:42:49,2
13,41.938928,-71.135429,2016-09-08T03:42:36,4
16,33.432351,-112.040511,2016-09-08T03:42:25,2
23,33.432952,-112.040418,2016-09-08T03:42:14,2
46,34.102457,-117.943893,2016-09-08T03:41:59,2
21,39.416425,-77.423176,2016-09-08T03:41:55,4
48,44.477659,-73.211289,2016-09-08T03:41:50,4
13,35.742358,-78.662789,2016-09-08T03:41:44,4
46,49.158399,-123.017837,2016-09-08T03:41:41,2
104,34.102685,-117.943618,2016-09-08T03:41:40,2
13,49.337265,17.995052,2016-09-08T03:41:37,3
102,44.808180,-122.916438,2016-09-08T03:41:31,2
16,35.742997,-78.653570,2016-09-08T03:41:26,4
133,37.796874,-122.403853,2016-09-08T03:41:20,2
16,26.234066,-98.197591,2016-09-08T03:41:06,2
52,34.051940,-118.245124,2016-09-08T03:41:02,2
